decision_id,market,profile_key,title,address,observed_sources,observed_categories,observed_source_decisions,profile_status_basis,allowed_manual_decisions,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on,category_group_id,category_rule_pattern,category_rule_reasons,unknown_categories,dental_title_signals,nondental_title_signals,category_nonprovider_signals,suggested_manual_decision,review_tier,suggestion_basis,automatic_final_decision_applied
profile:Buffalo_NY_L:google:cid:16190680881071780487,Buffalo_NY_L,google:cid:16190680881071780487,City Smiles,"2264 Main St Apt 1, Buffalo, NY 14214",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Buffalo_NY_L:google:cid:9379723610265778813,Buffalo_NY_L,google:cid:9379723610265778813,ECMC Center for Dental Care - Buffalo General Medical Center,"100 High St, Buffalo, NY 14203",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,dental,medical,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Buffalo_NY_L:google:cid:2431502444806696710,Buffalo_NY_L,google:cid:2431502444806696710,Good Neighbors Health Care,"175 Jefferson Ave, Buffalo, NY 14210",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Buffalo_NY_L:google:cid:15791159538290549542,Buffalo_NY_L,google:cid:15791159538290549542,Pediatric Dental – Golisano Children’s Buffalo Outpatient Center (Conventus),"1001 Main St, Buffalo, NY 14203",maps_core|maps_specialist,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,dental,pediatrics,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Buffalo_NY_L:google:cid:4884419086949519441,Buffalo_NY_L,google:cid:4884419086949519441,The Cardiac Connection,"5427 Transit Rd, Williamsville, NY 14221",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Eureka_CA_S:google:cid:5485192789650701152,Eureka_CA_S,google:cid:5485192789650701152,Eureka Health Center- United Indian Health Services,"2505 Lucas St Ste a, Eureka, CA 95501",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Eureka_CA_S:google:cid:14667082976660505393,Eureka_CA_S,google:cid:14667082976660505393,Eureka VA Clinic,"930 W Harris St, Eureka, CA 95501",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Eureka_CA_S:google:cid:12163677498635139494,Eureka_CA_S,google:cid:12163677498635139494,Open door clinic,"3rd St, Eureka, CA 95501",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:FortBragg_CA_S:google:cid:14917014621510948541,FortBragg_CA_S,google:cid:14917014621510948541,"Mendocino Coast Clinics, Inc","205 South St, Fort Bragg, CA 95437",maps_core|maps_specialist,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:14523467718029744471,LA_CA_L,google:cid:14523467718029744471,"APLA Health Center, Long Beach","1043 Elm Ave #302, Long Beach, CA 90813",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:14508613773664398805,LA_CA_L,google:cid:14508613773664398805,"APLA Health, Gleicher/Chen Health Center, Baldwin Hills","3743 S La Brea Ave, Los Angeles, CA 90016",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:8733211690348049313,LA_CA_L,google:cid:8733211690348049313,"AltaMed Medical and Dental Group - Pasadena, Fair Oaks","1855 N Fair Oaks Ave #200, Pasadena, CA 91103",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,dental,medical,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:10671460001844304829,LA_CA_L,google:cid:10671460001844304829,Artur Arkelakyan,"905 S Lake St STE 102, Burbank, CA 91502",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:14327273828255401603,LA_CA_L,google:cid:14327273828255401603,Comprehensive Community Health Centers - CCHC Glendale,"801 S Chevy Chase Dr #250, Glendale, CA 91205",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:10967843234449240540,LA_CA_L,google:cid:10967843234449240540,Dr. Fouy Chau,"5363 Balboa Blvd Ste 328, Encino, CA 91316",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:5006005254849634573,LA_CA_L,google:cid:5006005254849634573,Dr. Martin Galstyan,"813 Fair Oaks Ave, South Pasadena, CA 91030",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:1498220725156722538,LA_CA_L,google:cid:1498220725156722538,Eisner Health - Downtown Los Angeles,"1530 S Olive St, Los Angeles, CA 90015",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:17835189435584102604,LA_CA_L,google:cid:17835189435584102604,Eisner Health - Lynwood,"3680 E Imperial Hwy #200, Lynwood, CA 90262",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:17016569287748856828,LA_CA_L,google:cid:17016569287748856828,Eisner Health - Sherman Oaks,"Dental Clinic Suite LL, 15477 Ventura Blvd #300, Sherman Oaks, CA 91403",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:7614563752735245075,LA_CA_L,google:cid:7614563752735245075,El Proyecto Del Barrio,"9140 Van Nuys Blvd, Panorama City, CA 91402",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:13084037250118456891,LA_CA_L,google:cid:13084037250118456891,Endoscopy Center At Skypark,"23441 Madison St, Torrance, CA 90505",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:16173013667061739290,LA_CA_L,google:cid:16173013667061739290,Friends of Family Health Center,"501 S Idaho St, La Habra, CA 90631",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:11366871718438330174,LA_CA_L,google:cid:11366871718438330174,Jwch Clinic,"954 N Vermont Ave, Los Angeles, CA 90029",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:6196496635137087288,LA_CA_L,google:cid:6196496635137087288,KCS Health Center - Orangethorpe,"7212 Orangethorpe Ave #9a, Buena Park, CA 90621",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:8154161051919693340,LA_CA_L,google:cid:8154161051919693340,Kheir Clinic Suite 120,"3255 Wilshire Blvd, Los Angeles, CA 90010",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
