decision_id,market,profile_key,title,address,observed_sources,observed_categories,observed_source_decisions,profile_status_basis,allowed_manual_decisions,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on
profile:LA_CA_L:google:cid:16458988322556177375,LA_CA_L,google:cid:16458988322556177375,Global Dental Assistant Program.,"7136 Haskell Ave #217, Van Nuys, CA 91406",business_listings,Educational institution,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:13469792447363300883,LA_CA_L,google:cid:13469792447363300883,Global Dental Implant Academy,"11095 Knott Ave Suite ABC, Cypress, CA 90630",business_listings,Dental school,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:5575033927774697783,LA_CA_L,google:cid:5575033927774697783,Golden Care Dentistry,"6330 Van Nuys Blvd b, Van Nuys, CA 91401",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:11920906171447464232,LA_CA_L,google:cid:11920906171447464232,Granada Hills Radiology,"10515 Balboa Blvd #240, Granada Hills, CA 91344",business_listings,X-ray lab,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:13003487266611939149,LA_CA_L,google:cid:13003487266611939149,Hispano American Medical Clinic,"6915 Reseda Blvd #1, Reseda, CA 91335",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:9689135415174879004,LA_CA_L,google:cid:9689135415174879004,Indent Studio,"12520 Magnolia Blvd #300, Valley Village, CA 91607",business_listings,Dental laboratory,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:11785198834592951449,LA_CA_L,google:cid:11785198834592951449,Integrative Hygienist,"30200 Agoura Rd, Agoura Hills, CA 91301",business_listings,Dental hygienist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:7646798875731967891,LA_CA_L,google:cid:7646798875731967891,"InterDent, Inc.","2260 E Imperial Hwy, El Segundo, CA 90245",business_listings,Business to business service,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:2872486396781762368,LA_CA_L,google:cid:2872486396781762368,Intera Dental Designs,"5406 San Fernando Rd Ste 203, Glendale, CA 91203",business_listings,Dental laboratory,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:12486001094639181232,LA_CA_L,google:cid:12486001094639181232,Jaw Surgery Los Angeles,"2811 Wilshire Blvd Suite 940B, Santa Monica, CA 90403",business_listings,Plastic surgery clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:7491525317975939457,LA_CA_L,google:cid:7491525317975939457,Jeffrey Ashraf Hammoudeh,"1510 San Pablo St, Los Angeles, CA 90033",business_listings,Plastic surgeon,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:11366871718438330174,LA_CA_L,google:cid:11366871718438330174,Jwch Clinic,"954 N Vermont Ave, Los Angeles, CA 90029",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:15738244679380707742,LA_CA_L,google:cid:15738244679380707742,K9 LOFT,"2170 Sunset Blvd, Los Angeles, CA 90026",business_listings,Pet boarding service,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:6628421155979957422,LA_CA_L,google:cid:6628421155979957422,K9 Loft,"14257 Ventura Blvd, Sherman Oaks, CA 91423",business_listings,Pet groomer,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:8520393266508949767,LA_CA_L,google:cid:8520393266508949767,K9 Loft,"450 S Arroyo Pkwy, Pasadena, CA 91105",business_listings,Kennel,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:6196496635137087288,LA_CA_L,google:cid:6196496635137087288,KCS Health Center - Orangethorpe,"7212 Orangethorpe Ave #9a, Buena Park, CA 90621",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:8154161051919693340,LA_CA_L,google:cid:8154161051919693340,Kheir Clinic Suite 120,"3255 Wilshire Blvd, Los Angeles, CA 90010",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:12162070357666257271,LA_CA_L,google:cid:12162070357666257271,L C Dental Lab,"337 Glendale Blvd, Los Angeles, CA 90026",maps_core,Dental laboratory,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:10289272141375046777,LA_CA_L,google:cid:10289272141375046777,La Paz Medical Group,"1107 S Alvarado St #102, Los Angeles, CA 90006",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:3671213163963232519,LA_CA_L,google:cid:3671213163963232519,Ladera Dental,"5814 Obama Blvd, Los Angeles, CA 90016",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:17122915448874936130,LA_CA_L,google:cid:17122915448874936130,Los Angeles Christian Health Centers - Joshua House Clinic,"325 E 7th St, Los Angeles, CA 90014",business_listings|maps_core,Dental clinic|Free clinic,automatic_include|needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:706109540966761708,LA_CA_L,google:cid:706109540966761708,"Mark M. Urata, MD","4650 Sunset Blvd, Los Angeles, CA 90027",business_listings,Plastic surgeon,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:8654275743702524094,LA_CA_L,google:cid:8654275743702524094,Mark Wienberg DDS,"14431 1/2 Ventura Blvd, Sherman Oaks, CA 91423",business_listings,General practitioner,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:16234094910437092300,LA_CA_L,google:cid:16234094910437092300,Master Milling Center,"1303 N San Fernando Blvd #201, Burbank, CA 91504",business_listings,Dental laboratory,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:7141967122788574723,LA_CA_L,google:cid:7141967122788574723,Medical Mission Adventures,"11540 Bonham Ave, Lake View Terrace, CA 91342",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:8342031488362629794,LA_CA_L,google:cid:8342031488362629794,Millennium Health Group,"16661 Ventura Blvd #716, Encino, CA 91436",business_listings,Alternative medicine practitioner,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:3700286960602092890,LA_CA_L,google:cid:3700286960602092890,Miracle Mile Medical Group,"MIRACLE MILE GROUP, 5757 Wilshire Blvd Ste PR2, Los Angeles, CA 90036",business_listings,Medical Center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:2840277457789965236,LA_CA_L,google:cid:2840277457789965236,"Mission City Community Network, Inc - North Hills","15206 Parthenia St, North Hills, CA 91343",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:539673608057027857,LA_CA_L,google:cid:539673608057027857,Mobile 3D Advantage,"10315 Los Alamitos Blvd, Los Alamitos, CA 90720",business_listings,X-ray lab,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:11349239648908701467,LA_CA_L,google:cid:11349239648908701467,Mr. John Whitley,"10436 Sepulveda Blvd, Mission Hills, CA 91345",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:9661089799132322437,LA_CA_L,google:cid:9661089799132322437,Mundrugstore,"6333 W 3rd St, Los Angeles, CA 90036",business_listings,Alternative medicine practitioner,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:339669297753351258,LA_CA_L,google:cid:339669297753351258,Neobiotech USA,"2700 E Foothill Blvd Unit 121, Pasadena, CA 91107",business_listings,Medical equipment supplier,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:3785148419550317716,LA_CA_L,google:cid:3785148419550317716,Nioka Dental Lab,"2370 W Carson St, Torrance, CA 90501",business_listings,Dental laboratory,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:3096215368823140089,LA_CA_L,google:cid:3096215368823140089,Northeast Valley Health Corporation (San Fernando Health Center),"1600 San Fernando Rd, San Fernando, CA 91340",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
